name,count_m,count_f,year,count_total,proportion
Jackie,78791,91083,0,169874,0.036179756760893356
Kerry,49861,48642,0,98503,0.006187628803183687
Frankie,41811,36092,0,77903,0.036705903495372505
Emerson,30861,29816,0,60677,0.00861117062478367
Robbie,21258,22456,0,43714,0.013702703939241445
Justice,19492,18380,0,37872,0.014681030840726694
Elisha,15051,14211,0,29262,0.014353085913471397
Kris,14329,13554,0,27883,0.013897356812394679
Stevie,12342,14770,0,27112,0.04477722041900267
Oakley,9893,11515,0,21408,0.037883034379671165
Charlie,2091,2235,2023,4326,0.01664355062413314
Tatum,1492,1314,2023,2806,0.0317177476835353
Blake,1366,1346,2023,2712,0.0036873156342183133
Finley,1171,1106,2023,2277,0.014273166447079544
Dakota,1009,1183,2023,2192,0.039689781021897796
Alexis,641,681,2023,1322,0.015128593040847182
Azariah,511,527,2023,1038,0.007707129094412346
Bellamy,347,330,2023,677,0.012555391432791718
Robin,322,354,2023,676,0.023668639053254448
Justice,256,243,2023,499,0.013026052104208374
Charlie,2105,2335,2022,4440,0.025900900900900914
Blake,1576,1447,2022,3023,0.0213364207740655
Finley,1224,1366,2022,2590,0.027413127413127403
Tatum,1054,1156,2022,2210,0.02307692307692305
Armani,797,705,2022,1502,0.030625832223701743
Azariah,432,478,2022,910,0.025274725274725296
Bellamy,442,407,2022,849,0.020612485276796266
Jamie,447,397,2022,844,0.02962085308056872
Justice,328,318,2022,646,0.007739938080495334
Robin,318,324,2022,642,0.004672897196261683
Charlie,2005,2220,2021,4225,0.02544378698224853
Finley,1306,1413,2021,2719,0.01967635159985287
Dakota,950,1161,2021,2111,0.04997631454287066
Jamie,441,413,2021,854,0.016393442622950838
Justice,439,389,2021,828,0.03019323671497587
Bellamy,446,372,2021,818,0.04523227383863082
Azariah,425,377,2021,802,0.029925187032418976
Ocean,368,313,2021,681,0.04038179148311305
Robin,256,291,2021,547,0.031992687385740404
Kacey,220,208,2021,428,0.014018691588784993
Charlie,1870,2238,2020,4108,0.0447906523855891
Jamie,350,395,2020,745,0.030201342281879207
Azariah,379,317,2020,696,0.04454022988505746
Bellamy,335,341,2020,676,0.00443786982248523
Robin,259,292,2020,551,0.029945553539019953
Murphy,225,261,2020,486,0.037037037037037035
Campbell,165,195,2020,360,0.041666666666666685
Kacey,163,185,2020,348,0.03160919540229884
True,165,170,2020,335,0.007462686567164201
Sidney,166,141,2020,307,0.04071661237785018
Charlie,1830,2085,2019,3915,0.032567049808429116
Justice,460,530,2019,990,0.03535353535353536
Azariah,356,341,2019,697,0.010760401721664259
Bellamy,270,253,2019,523,0.016252390057361343
Robin,257,262,2019,519,0.0048169556840076955
Ocean,184,193,2019,377,0.011936339522546413
Murphy,185,177,2019,362,0.011049723756906049
Sidney,176,179,2019,355,0.004225352112676051
True,151,145,2019,296,0.010135135135135087
Jael,133,154,2019,287,0.036585365853658514
Charlie,1730,1850,2018,3580,0.01675977653631283
