name,sex,count,year
James,M,5226569,0
John,M,5166241,0
Robert,M,4841968,0
Michael,M,4410095,0
William,M,4178180,0
Mary,F,4136872,0
Elizabeth,F,1674865,0
Patricia,F,1573241,0
Jennifer,F,1470608,0
Linda,F,1454476,0
Liam,M,20802,2023
Noah,M,18995,2023
Oliver,M,14741,2023
James,M,11670,2023
Elijah,M,11452,2023
Olivia,F,15270,2023
Emma,F,13527,2023
Charlotte,F,12596,2023
Amelia,F,12311,2023
Sophia,F,11944,2023
Liam,M,20533,2022
Noah,M,18708,2022
Oliver,M,15141,2022
James,M,12089,2022
Elijah,M,12054,2022
Olivia,F,16630,2022
Emma,F,14484,2022
Charlotte,F,12936,2022
Amelia,F,12400,2022
Sophia,F,12361,2022
Liam,M,20391,2021
Noah,M,18884,2021
Oliver,M,14696,2021
Elijah,M,12807,2021
James,M,12452,2021
Olivia,F,17824,2021
Emma,F,15530,2021
Charlotte,F,13352,2021
Amelia,F,13024,2021
Ava,F,12854,2021
Liam,M,19842,2020
Noah,M,18429,2020
Oliver,M,14270,2020
Elijah,M,13199,2020
William,M,12662,2020
Olivia,F,17677,2020
Emma,F,15699,2020
Ava,F,13191,2020
Charlotte,F,13092,2020
Sophia,F,13086,2020
Liam,M,20611,2019
Noah,M,19159,2019
Oliver,M,13962,2019
William,M,13639,2019
Elijah,M,13413,2019
Olivia,F,18561,2019
Emma,F,17212,2019
Ava,F,14534,2019
Sophia,F,13801,2019
Isabella,F,13388,2019
Liam,M,19966,2018
Noah,M,18415,2018
William,M,14639,2018
James,M,13640,2018
Oliver,M,13492,2018
Emma,F,18814,2018
Olivia,F,18050,2018
Ava,F,15020,2018
Isabella,F,14558,2018
Sophia,F,13997,2018
Liam,M,18855,2017
Noah,M,18488,2017
William,M,15031,2017
James,M,14354,2017
Logan,M,14051,2017
Emma,F,19865,2017
Olivia,F,18771,2017
Ava,F,16011,2017
Isabella,F,15243,2017
Sophia,F,14928,2017
Noah,M,19177,2016
Liam,M,18267,2016
William,M,15802,2016
Mason,M,15284,2016
James,M,14913,2016
Emma,F,19542,2016
Olivia,F,19404,2016
Ava,F,16341,2016
Sophia,F,16180,2016
Isabella,F,14852,2016
Noah,M,19675,2015
Liam,M,18406,2015
Mason,M,16661,2015
Jacob,M,15993,2015
William,M,15940,2015
Emma,F,20482,2015
Olivia,F,19721,2015
Sophia,F,17450,2015
Ava,F,16402,2015
Isabella,F,15658,2015
Noah,M,19333,2014
Liam,M,18480,2014
Mason,M,17215,2014
Jacob,M,16909,2014
William,M,16847,2014
Emma,F,20961,2014
Olivia,F,19833,2014
Sophia,F,18640,2014
Isabella,F,17127,2014
Ava,F,15722,2014
Noah,M,18284,2013
Jacob,M,18189,2013
Liam,M,18153,2013
Mason,M,17724,2013
William,M,16662,2013
Sophia,F,21249,2013
Emma,F,20963,2013
Olivia,F,18448,2013
Isabella,F,17673,2013
Ava,F,15270,2013
Jacob,M,19101,2012
Mason,M,18991,2012
Ethan,M,17693,2012
Noah,M,17374,2012
William,M,16908,2012
Sophia,F,22333,2012
Emma,F,20968,2012
Isabella,F,19130,2012
Olivia,F,17331,2012
Ava,F,15547,2012
Jacob,M,20394,2011
Mason,M,19524,2011
William,M,17357,2011
Jayden,M,17014,2011
Noah,M,16878,2011
Sophia,F,21859,2011
Isabella,F,19928,2011
Emma,F,18820,2011
Olivia,F,17333,2011
Ava,F,15514,2011
Jacob,M,22148,2010
Ethan,M,18015,2010
Michael,M,17376,2010
Jayden,M,17198,2010
William,M,17068,2010
Isabella,F,22934,2010
Sophia,F,20654,2010
Emma,F,17361,2010
Olivia,F,17035,2010
Ava,F,15441,2010
Jacob,M,21199,2009
Ethan,M,19852,2009
Michael,M,18957,2009
Alexander,M,18248,2009
William,M,17929,2009
Isabella,F,22318,2009
Emma,F,17910,2009
Olivia,F,17441,2009
Sophia,F,16948,2009
Ava,F,15874,2009
Jacob,M,22618,2008
Michael,M,20645,2008
Ethan,M,20220,2008
Joshua,M,19225,2008
Daniel,M,19024,2008
Emma,F,18826,2008
Isabella,F,18626,2008
Emily,F,17444,2008
Olivia,F,17087,2008
Ava,F,17049,2008
Jacob,M,24302,2007
Michael,M,22020,2007
Ethan,M,21036,2007
Joshua,M,20665,2007
Daniel,M,20260,2007
Emily,F,19363,2007
Isabella,F,19141,2007
Emma,F,18384,2007
Ava,F,18053,2007
Madison,F,17966,2007
Jacob,M,24862,2006
Michael,M,22649,2006
Joshua,M,22334,2006
Ethan,M,20522,2006
Matthew,M,20337,2006
Emily,F,21411,2006
Emma,F,19128,2006
Madison,F,18633,2006
Isabella,F,18229,2006
Ava,F,16942,2006
Jacob,M,25846,2005
Michael,M,23826,2005
Joshua,M,23260,2005
Matthew,M,21480,2005
Ethan,M,21318,2005
Emily,F,23949,2005
Emma,F,20354,2005
Madison,F,19577,2005
Abigail,F,15755,2005
Olivia,F,15699,2005
Jacob,M,27902,2004
Michael,M,25469,2004
Joshua,M,24211,2004
Matthew,M,22882,2004
Ethan,M,22208,2004
Emily,F,25040,2004
Emma,F,21618,2004
Madison,F,20628,2004
Olivia,F,16107,2004
Hannah,F,15611,2004
Jacob,M,29652,2003
Michael,M,27126,2003
Joshua,M,25103,2003
Matthew,M,24010,2003
Andrew,M,22162,2003
Emily,F,25692,2003
Emma,F,22716,2003
Madison,F,20201,2003
Hannah,F,17638,2003
Olivia,F,16152,2003
Jacob,M,30585,2002
Michael,M,28257,2002
Joshua,M,25997,2002
Matthew,M,25154,2002
Ethan,M,22112,2002
Emily,F,24469,2002
Madison,F,21773,2002
Hannah,F,18827,2002
Emma,F,16557,2002
Alexis,F,15636,2002
Jacob,M,32572,2001
Michael,M,29688,2001
Matthew,M,26812,2001
Joshua,M,26024,2001
Christopher,M,23131,2001
Emily,F,25059,2001
Madison,F,22166,2001
Hannah,F,20722,2001
Ashley,F,16531,2001
Alexis,F,16403,2001
Jacob,M,34490,2000
Michael,M,32042,2000
Matthew,M,28579,2000
Joshua,M,27540,2000
Christopher,M,24936,2000
Emily,F,25959,2000
Hannah,F,23086,2000
Madison,F,19968,2000
Ashley,F,17998,2000
Sarah,F,17713,2000
Jacob,M,35370,1999
Michael,M,33913,1999
Matthew,M,30418,1999
Joshua,M,27261,1999
Nicholas,M,25639,1999
Emily,F,26541,1999
Hannah,F,21679,1999
Alexis,F,19235,1999
Sarah,F,19116,1999
Samantha,F,19041,1999
Michael,M,36617,1998
Jacob,M,36026,1998
Matthew,M,31144,1998
Joshua,M,28095,1998
Christopher,M,27006,1998
Emily,F,26186,1998
Hannah,F,21375,1998
Samantha,F,20194,1998
Sarah,F,19895,1998
Ashley,F,19874,1998
Michael,M,37557,1997
Jacob,M,34158,1997
Matthew,M,31517,1997
Christopher,M,29106,1997
Joshua,M,28288,1997
Emily,F,25735,1997
Jessica,F,21045,1997
Ashley,F,20896,1997
Sarah,F,20715,1997
Hannah,F,20595,1997
Michael,M,38369,1996
Matthew,M,32076,1996
Jacob,M,31925,1996
Christopher,M,30903,1996
Joshua,M,29173,1996
Emily,F,25152,1996
Jessica,F,24199,1996
Ashley,F,23678,1996
Sarah,F,21043,1996
Samantha,F,20551,1996
Michael,M,41408,1995
Matthew,M,32878,1995
Christopher,M,32675,1995
Jacob,M,31133,1995
Joshua,M,30719,1995
Jessica,F,27939,1995
Ashley,F,26603,1995
Emily,F,24381,1995
Samantha,F,21645,1995
Sarah,F,21393,1995
Michael,M,44470,1994
Christopher,M,34805,1994
Matthew,M,33651,1994
Joshua,M,31374,1994
Tyler,M,30480,1994
Jessica,F,32122,1994
Ashley,F,30283,1994
Emily,F,24154,1994
Samantha,F,22823,1994
Sarah,F,22296,1994
Michael,M,49562,1993
Christopher,M,38235,1993
Matthew,M,35778,1993
Joshua,M,33587,1993
Tyler,M,29800,1993
Jessica,F,34993,1993
Ashley,F,34850,1993
Sarah,F,24254,1993
Samantha,F,23666,1993
Emily,F,23595,1993
Michael,M,54399,1992
Christopher,M,42466,1992
Matthew,M,37733,1992
Joshua,M,36218,1992
Andrew,M,30538,1992
Ashley,F,38458,1992
Jessica,F,38360,1992
Amanda,F,25037,1992
Brittany,F,24983,1992
Sarah,F,24636,1992
Michael,M,60803,1991
Christopher,M,47109,1991
Matthew,M,41643,1991
Joshua,M,41226,1991
Andrew,M,31539,1991
Ashley,F,43480,1991
Jessica,F,43396,1991
Brittany,F,29090,1991
Amanda,F,28896,1991
Samantha,F,25645,1991
Michael,M,65313,1990
Christopher,M,52354,1990
Matthew,M,44814,1990
Joshua,M,43230,1990
Daniel,M,33829,1990
Jessica,F,46480,1990
Ashley,F,45559,1990
Brittany,F,36536,1990
Amanda,F,34413,1990
Samantha,F,25868,1990
Michael,M,65409,1989
Christopher,M,53185,1989
Matthew,M,45375,1989
Joshua,M,44098,1989
David,M,35221,1989
Jessica,F,47889,1989
Ashley,F,47588,1989
Brittany,F,37791,1989
Amanda,F,36833,1989
Sarah,F,27794,1989
Michael,M,64163,1988
Christopher,M,53013,1988
Matthew,M,45873,1988
Joshua,M,42651,1988
Andrew,M,35746,1988
Jessica,F,51555,1988
Ashley,F,49972,1988
Amanda,F,39458,1988
Sarah,F,28373,1988
Jennifer,F,27892,1988
Michael,M,63663,1987
Christopher,M,54493,1987
Matthew,M,46506,1987
Joshua,M,40003,1987
David,M,36797,1987
Jessica,F,55996,1987
Ashley,F,54850,1987
Amanda,F,41788,1987
Jennifer,F,32707,1987
Sarah,F,27895,1987
Michael,M,64227,1986
Christopher,M,56694,1986
Matthew,M,46927,1986
Joshua,M,37541,1986
David,M,37146,1986
Jessica,F,52684,1986
Ashley,F,49674,1986
Amanda,F,40531,1986
Jennifer,F,36187,1986
Sarah,F,28161,1986
Michael,M,64930,1985
Christopher,M,59611,1985
Matthew,M,47079,1985
Joshua,M,42199,1985
Daniel,M,38563,1985
Jessica,F,48348,1985
Ashley,F,47008,1985
Jennifer,F,42658,1985
Amanda,F,39057,1985
Sarah,F,24877,1985
Michael,M,67742,1984
Christopher,M,60022,1984
Matthew,M,49773,1984
Joshua,M,40269,1984
David,M,38489,1984
Jennifer,F,50563,1984
Jessica,F,45857,1984
Ashley,F,38774,1984
Amanda,F,33915,1984
Sarah,F,25888,1984
Michael,M,67996,1983
Christopher,M,59326,1983
Matthew,M,50210,1983
David,M,39206,1983
Joshua,M,36689,1983
Jennifer,F,54352,1983
Jessica,F,45281,1983
Amanda,F,33750,1983
Ashley,F,33293,1983
Sarah,F,27230,1983
Michael,M,68231,1982
Christopher,M,59230,1982
Matthew,M,46050,1982
Jason,M,40638,1982
David,M,40455,1982
Jennifer,F,57122,1982
Jessica,F,45448,1982
Amanda,F,34212,1982
Sarah,F,28488,1982
Melissa,F,25867,1982
Michael,M,68765,1981
Christopher,M,50220,1981
Matthew,M,43326,1981
Jason,M,41927,1981
David,M,40636,1981
Jennifer,F,57048,1981
Jessica,F,42534,1981
Amanda,F,34373,1981
Sarah,F,28171,1981
Melissa,F,28005,1981
Michael,M,68687,1980
Christopher,M,49082,1980
Jason,M,48166,1980
David,M,41894,1980
James,M,39312,1980
Jennifer,F,58379,1980
Amanda,F,35812,1980
Jessica,F,33922,1980
Melissa,F,31635,1980
Sarah,F,25759,1980
Michael,M,67720,1979
Christopher,M,50668,1979
Jason,M,50371,1979
David,M,42062,1979
James,M,39353,1979
